meeting_date,target_rate,current_probability_pct,prev_day_probability_pct,prev_week_probability_pct
2025-09-17,3.75 - 4.00,—,—,3.4%
2025-09-17,4.00 - 4.25,78.4%,84.4%,96.6%
2025-09-17,4.25 - 4.50,21.6%,15.6%,—
2025-10-29,3.50 - 3.75,—,—,2.3%
2025-10-29,3.75 - 4.00,45.2%,48.6%,67.4%
2025-10-29,4.00 - 4.25,45.7%,44.8%,30.3%
2025-10-29,4.25 - 4.50,9.2%,6.6%,—
2025-12-10,3.25 - 3.50,—,—,1.8%
2025-12-10,3.50 - 3.75,32.7%,35.4%,52.7%
2025-12-10,3.75 - 4.00,45.5%,45.8%,38.7%
2025-12-10,4.00 - 4.25,19.2%,17.0%,6.8%
2025-12-10,4.25 - 4.50,2.5%,1.8%,—
2026-01-26,3.00 - 3.25,—,—,1.0%
2026-01-26,3.25 - 3.50,16.2%,16.7%,29.6%
2026-01-26,3.50 - 3.75,39.1%,40.3%,45.0%
2026-01-26,3.75 - 4.00,32.5%,32.2%,21.3%
2026-01-26,4.00 - 4.25,10.9%,9.8%,3.1%
2026-01-26,4.25 - 4.50,1.3%,0.9%,—
2026-03-18,2.75 - 3.00,—,—,0.5%
2026-03-18,3.00 - 3.25,8.7%,8.3%,15.8%
2026-03-18,3.25 - 3.50,28.5%,28.5%,37.6%
2026-03-18,3.50 - 3.75,35.5%,36.3%,32.7%
2026-03-18,3.75 - 4.00,20.9%,21.1%,11.8%
2026-03-18,4.00 - 4.25,5.7%,5.4%,1.5%
2026-03-18,4.25 - 4.50,0.6%,0.5%,—
2026-04-29,2.50 - 2.75,—,—,0.2%
2026-04-29,2.75 - 3.00,2.8%,2.7%,5.1%
2026-04-29,3.00 - 3.25,15.1%,14.8%,22.4%
2026-04-29,3.25 - 3.50,30.8%,31.0%,36.1%
2026-04-29,3.50 - 3.75,30.8%,31.4%,26.4%
2026-04-29,3.75 - 4.00,16.0%,16.0%,8.7%
2026-04-29,4.00 - 4.25,4.1%,3.8%,1.0%
2026-04-29,4.25 - 4.50,0.4%,0.3%,—
2026-06-17,2.25 - 2.50,—,—,0.1%
2026-06-17,2.50 - 2.75,1.5%,1.4%,2.8%
2026-06-17,2.75 - 3.00,9.5%,9.1%,14.3%
2026-06-17,3.00 - 3.25,23.7%,23.4%,29.7%
2026-06-17,3.25 - 3.50,30.8%,31.2%,31.0%
2026-06-17,3.50 - 3.75,22.7%,23.2%,17.0%
2026-06-17,3.75 - 4.00,9.5%,9.5%,4.6%
2026-06-17,4.00 - 4.25,2.1%,2.0%,0.5%
2026-06-17,4.25 - 4.50,0.2%,0.2%,—
2026-07-29,2.00 - 2.25,—,—,0.0%
2026-07-29,2.25 - 2.50,0.5%,0.4%,0.9%
2026-07-29,2.50 - 2.75,4.2%,3.8%,6.1%
2026-07-29,2.75 - 3.00,14.2%,13.5%,18.7%
2026-07-29,3.00 - 3.25,26.0%,25.8%,30.1%
2026-07-29,3.25 - 3.50,28.1%,28.7%,27.0%
2026-07-29,3.50 - 3.75,18.3%,19.0%,13.5%
2026-07-29,3.75 - 4.00,7.0%,7.2%,3.4%
2026-07-29,4.00 - 4.25,1.4%,1.4%,0.3%
2026-07-29,4.25 - 4.50,0.1%,0.1%,—
2026-09-16,1.75 - 2.00,—,—,0.0%
2026-09-16,2.00 - 2.25,0.2%,0.2%,0.3%
2026-09-16,2.25 - 2.50,2.0%,1.7%,2.8%
2026-09-16,2.50 - 2.75,8.4%,7.5%,10.7%
2026-09-16,2.75 - 3.00,19.2%,18.1%,22.9%
2026-09-16,3.00 - 3.25,26.9%,26.9%,28.9%
2026-09-16,3.25 - 3.50,24.0%,25.1%,22.0%
2026-09-16,3.50 - 3.75,13.6%,14.6%,9.8%
2026-09-16,3.75 - 4.00,4.7%,5.0%,2.3%
2026-09-16,4.00 - 4.25,0.9%,0.9%,0.2%
2026-09-16,4.25 - 4.50,0.1%,0.1%,—
2026-10-28,1.50 - 1.75,—,—,0.0%
2026-10-28,1.75 - 2.00,0.0%,0.0%,0.0%
2026-10-28,2.00 - 2.25,0.5%,0.4%,0.6%
2026-10-28,2.25 - 2.50,3.2%,2.8%,3.7%
2026-10-28,2.50 - 2.75,10.4%,9.4%,12.1%
2026-10-28,2.75 - 3.00,20.6%,19.8%,23.6%
2026-10-28,3.00 - 3.25,26.4%,26.6%,28.1%
2026-10-28,3.25 - 3.50,22.1%,23.1%,20.6%
2026-10-28,3.50 - 3.75,12.0%,12.8%,8.9%
2026-10-28,3.75 - 4.00,4.0%,4.3%,2.1%
2026-10-28,4.00 - 4.25,0.7%,0.8%,0.2%
2026-10-28,4.25 - 4.50,0.1%,0.1%,—
2026-12-09,1.25 - 1.50,—,—,0.0%
2026-12-09,1.50 - 1.75,0.0%,0.0%,0.0%
2026-12-09,1.75 - 2.00,0.2%,0.1%,0.2%
2026-12-09,2.00 - 2.25,1.1%,1.0%,1.2%
2026-12-09,2.25 - 2.50,4.8%,4.2%,5.4%
2026-12-09,2.50 - 2.75,12.6%,11.7%,14.4%
2026-12-09,2.75 - 3.00,21.9%,21.3%,24.5%
2026-12-09,3.00 - 3.25,25.4%,25.8%,26.6%
2026-12-09,3.25 - 3.50,19.9%,20.9%,18.3%
2026-12-09,3.50 - 3.75,10.2%,10.9%,7.6%
2026-12-09,3.75 - 4.00,3.3%,3.5%,1.7%
2026-12-09,4.00 - 4.25,0.6%,0.6%,0.2%
2026-12-09,4.25 - 4.50,0.0%,0.0%,—
