"date","market","symbol","company","industry"
2026-01-13,"NYSE","JPM","JPMorgan Chase","銀行、金融サービス"
2026-01-14,"NYSE","BAC","Bank of America","銀行、金融サービス"
2026-01-15,"NYSE","TSM","TSMC","半導体、テクノロジー"
2026-01-20,"NASDAQ","NFLX","Netflix","インターネット、テクノロジー"
2026-01-21,"NYSE","JNJ","Johnson & Johnson","医薬品"
2026-01-22,"NYSE","V","Visa","金融サービス"
2026-01-22,"NYSE","PG","Procter & Gamble","消費財"
2026-01-22,"TSE",6988,"日東電工","化学"
2026-01-27,"NYSE","UNH","UnitedHealth","ヘルスケアサービス"
2026-01-27,"TSE",4063,"信越化学工業","化学"
2026-01-28,"TSE",6954,"ファナック","電気機器"
2026-01-28,"NASDAQ","TSLA","Tesla","自動車、テクノロジー"
2026-01-29,"NASDAQ","AAPL","Apple","テクノロジー"
2026-01-29,"TSE",4519,"中外製薬","医薬品"
2026-01-29,"TSE",9766,"コナミグループ","情報・通信業"
2026-01-29,"TSE",6971,"京セラ","電気機器"
2026-01-29,"NASDAQ","AMZN","Amazon","小売り"
2026-01-30,"TSE",9433,"KDDI","情報・通信業"
2026-01-30,"TSE",4568,"第一三共","医薬品"
2026-02-02,"TSE",6762,"TDK","電気機器"
2026-02-03,"TSE",7974,"任天堂","その他製品"
2026-02-03,"NYSE","MRK","Merck","医薬品"
2026-02-03,"NASDAQ","GOOG","Alphabet (Google)","ソフトウェア、テクノロジー"
2026-02-04,"NASDAQ","META","Meta Platforms","テクノロジー"
2026-02-04,"NYSE","MA","Mastercard","金融サービス"
2026-02-04,"NASDAQ","MSFT","Microsoft","ソフトウェア、テクノロジー"
2026-02-04,"TSE",6857,"アドバンテスト","電気機器"
2026-02-05,"TSE",8035,"東京エレクトロン","電気機器"
2026-02-05,"TSE",4543,"テルモ","精密機器"
2026-02-10,"TSE",7832,"バンダイナムコHD","その他製品"
2026-02-10,"TSE",6367,"ダイキン工業","機械"
2026-02-10,"TSE",9984,"ソフトバンクグループ","情報・通信業"
2026-02-11,"TSE",7203,"トヨタ自動車","輸送用機器"
2026-02-11,"NYSE","LLY","Eli Lilly","医薬品、バイオテクノロジー"
2026-02-13,"TSE",6758,"ソニーグループ","電気機器"
2026-02-16,"TSE",6098,"リクルートホールディングス","サービス業"
2026-02-19,"NASDAQ","WMT","Walmart","小売り、食品、ドラッグ"
2026-02-23,"NYSE","BRK.B","Berkshire Hathaway","保険、製造業、金融、投資"
2026-02-25,"NASDAQ","NVDA","NVIDIA","半導体、テクノロジー"
2026-02-26,"NASDAQ","AVGO","Broadcom (AVGO)","半導体、テクノロジー"
2026-03-05,"NASDAQ","COST","Costco Wholesale","小売り"
2026-03-16,"NYSE","ORCL","Oracle","ソフトウェア、テクノロジー"
2026-04-09,"TSE",9983,"ファーストリテイリング","小売業"
