"date","market","symbol","company","fiscal_period","industry","q0_eps_actual","q0_eps_forecast","q0_eps_surprise","q0_sales_actual","q0_sales_forecast","q0_sales_surprise","q1_eps_actual","q1_eps_forecast","q1_eps_surprise","q1_sales_actual","q1_sales_forecast","q1_sales_surprise","q2_eps_actual","q2_eps_forecast","q2_eps_surprise","q2_sales_actual","q2_sales_forecast","q2_sales_surprise","q3_eps_actual","q3_eps_forecast","q3_eps_surprise","q3_sales_actual","q3_sales_forecast","q3_sales_surprise","q4_eps_actual","q4_eps_forecast","q4_eps_surprise","q4_sales_actual","q4_sales_forecast","q4_sales_surprise","q5_eps_actual","q5_eps_forecast","q5_eps_surprise","q5_sales_actual","q5_sales_forecast","q5_sales_surprise","q6_eps_actual","q6_eps_forecast","q6_eps_surprise","q6_sales_actual","q6_sales_forecast","q6_sales_surprise","q7_eps_actual","q7_eps_forecast","q7_eps_surprise","q7_sales_actual","q7_sales_forecast","q7_sales_surprise"
2026-05-08,"TSE",9766,"コナミグループ","Q4 '25","情報・通信業",189.34,146.9,28.89,140.66,132.7,6,205.54,205.87,-0.16,128.18,127.27,0.72,196.6,162.8,20.76,127.88,128.21,-0.26,146.32,152.99,-4.36,96.96,97.34,-0.38,85.44,125.02,-31.66,110.77,119.71,-7.47,197.03,169.66,16.13,126.75,119.56,6.01,127.18,124.25,2.36,94.05,92.21,1.99,141.35,121.61,16.23,90.04,84.54,6.5
,"TSE",7203,"トヨタ自動車",,"輸送用機器",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TSE",4568,"第一三共",,"医薬品",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TSE",6367,"ダイキン工業",,"機械",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TSE",9433,"KDDI",,"情報・通信業",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TSE",6758,"ソニーグループ",,"電気機器",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TSE",7832,"バンダイナムコHD",,"その他製品",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TSE",9984,"ソフトバンクグループ",,"情報・通信業",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NASDAQ","WMT","Walmart",,"小売り、食品、ドラッグ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TSE",6098,"リクルートホールディングス",,"サービス業",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TSE",4543,"テルモ",,"精密機器",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NASDAQ","NVDA","NVIDIA",,"半導体、テクノロジー",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NASDAQ","AVGO","Broadcom (AVGO)",,"半導体、テクノロジー",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NYSE","ORCL","Oracle",,"エンタープライズソフト、クラウドインフラ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NYSE","UNH","UnitedHealth",,"ヘルスケアサービス",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TSE",4519,"中外製薬",,"医薬品",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TSE",6954,"ファナック",,"電気機器",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NASDAQ","TSLA","Tesla",,"自動車、テクノロジー",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NASDAQ","COST","Costco Wholesale",,"小売り",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NYSE","PG","Procter & Gamble",,"消費財",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TSE",8035,"東京エレクトロン",,"電気機器",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NYSE","BRK.B","Berkshire Hathaway",,"保険、製造業、金融、投資",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TSE",7974,"任天堂",,"その他製品",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NYSE","MRK","Merck",,"医薬品",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NASDAQ","AAPL","Apple",,"テクノロジー",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TSE",6971,"京セラ",,"電気機器",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NASDAQ","GOOG","Alphabet (Google)",,"ソフトウェア、テクノロジー",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NASDAQ","MSFT","Microsoft",,"ソフトウェア、テクノロジー",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NASDAQ","AMZN","Amazon",,"小売り",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NYSE","LLY","Eli Lilly",,"医薬品、バイオテクノロジー",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NYSE","MA","Mastercard",,"金融サービス",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TSE",6988,"日東電工",,"化学",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TSE",6762,"TDK",,"電気機器",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TSE",4063,"信越化学工業",,"化学",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NYSE","V","Visa",,"金融",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NASDAQ","META","Meta Platforms",,"テクノロジー",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TSE",6857,"アドバンテスト",,"電気機器",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NASDAQ","NFLX","Netflix",,"インターネット、テクノロジー",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NYSE","TSM","TSMC",,"半導体、テクノロジー",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NYSE","JPM","JPMorgan Chase",,"銀行、金融",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NYSE","JNJ","Johnson & Johnson",,"医薬品",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TSE",9983,"ファーストリテイリング",,"小売業",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NYSE","BAC","Bank of America",,"銀行、金融",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
